ID;species;basisOfRecord;Latitude;Longitude
21937;Dicranella howei Renauld & Cardot ;PRESERVED_SPECIMEN;38.673016;-9.232273
22095;Fissidens viridulus (Sw. ex anon.) Wahlenb.;PRESERVED_SPECIMEN;38.673016;-9.232273
22159;Microbryum starckeanum (Hedw.) R.H.Zander;PRESERVED_SPECIMEN;38.673016;-9.232273
22360;Trichostomum crispulum Bruch;PRESERVED_SPECIMEN;38.673016;-9.232273
76888;Syntrichia ruralis var. ruraliformis (Besch.) Delogne;HUMAN_OBSERVATION;42.76531985;-9.117126462
20690;Didymodon ferrugineus (Schimp. ex Besch.) M.O.Hill ;PRESERVED_SPECIMEN;42.75416667;-9.1125
13074;Tortella squarrosa (Brid.) Limpr.;PRESERVED_SPECIMEN;42.75416667;-9.1125
15947;Tortella squarrosa (Brid.) Limpr.;PRESERVED_SPECIMEN;42.75416667;-9.1125
16449;Syntrichia ruralis var. ruraliformis (Besch.) Delogne;PRESERVED_SPECIMEN;42.75416667;-9.1125
20582;Syntrichia ruralis var. ruraliformis (Besch.) Delogne;PRESERVED_SPECIMEN;42.75416667;-9.1125
10828;Syntrichia ruralis var. ruraliformis (Besch.) Delogne;PRESERVED_SPECIMEN;42.75416667;-9.1125
72776;Pleuridium acuminatum Lindb. ;HUMAN_OBSERVATION;42.74531087;-9.082591662
72323;Imbribryum alpinum (Huds. ex With.) N.Pedersen;HUMAN_OBSERVATION;42.74531087;-9.082591662
72325;Ptychostomum rubens (Mitt.) Holyoak & N. Pedersen;HUMAN_OBSERVATION;42.74531087;-9.082591662
72324;Ptychostomum torquescens (Bruch & Schimp.) Ros & Mazimpaka;HUMAN_OBSERVATION;42.74531087;-9.082591662
72345;Campylopus introflexus (Hedw.) Brid. ;HUMAN_OBSERVATION;42.74531087;-9.082591662
72344;Ceratodon purpureus (Hedw.) Brid.;HUMAN_OBSERVATION;42.74531087;-9.082591662
72321;Ditrichum subulatum Hampe ;HUMAN_OBSERVATION;42.74531087;-9.082591662
72343;Funaria hygrometrica Hedw.;HUMAN_OBSERVATION;42.74531087;-9.082591662
72960;Grimmia trichophylla Grev. ;HUMAN_OBSERVATION;42.74531087;-9.082591662
72975;Pseudephemerum nitidum (Hedw.) Loeske;HUMAN_OBSERVATION;42.74531087;-9.082591662
73250;Sphagnum auriculatum Schimp.;HUMAN_OBSERVATION;42.74531087;-9.082591662
73146;Syntrichia laevipila Brid. ;HUMAN_OBSERVATION;42.74531087;-9.082591662
